Article ID,Article Code ID,Email Reply Code ID,Replication Amount ID,Reproducibility Effort ID,ICERM Criteria 1,ICERM Criteria 2,ICERM Criteria 3,ICERM Criteria 4,ICERM Criteria 5,ICERM Criteria 6,ICERM Criteria 7,ICERM Criteria 9,ICERM Criteria 10,ICERM Criteria 11,ICERM Criteria 12,ICERM Criteria 13,ICERM Criteria 14,ICERM Criteria 15,ICERM Criteria 16,ICERM Criteria 17,ICERM Criteria 18,ICERM Criteria 19,ICERM Criteria 20
0,0,7,,,,,,,,,,,,,,,,,,,,,
2,5,,2,3,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
3,0,0,,,,,,,,,,,,,,,,,,,,,
4,0,4,,,,,,,,,,,,,,,,,,,,,
6,1,0,,,,,,,,,,,,,,,,,,,,,
16,1,8,,,,,,,,,,,,,,,,,,,,,
18,0,3,,,,,,,,,,,,,,,,,,,,,
19,1,4,,,,,,,,,,,,,,,,,,,,,
25,1,0,,,,,,,,,,,,,,,,,,,,,
27,0,4,,,,,,,,,,,,,,,,,,,,,
28,0,3,,,,,,,,,,,,,,,,,,,,,
29,0,0,,,,,,,,,,,,,,,,,,,,,
30,0,12,3,5,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1
31,1,6,,,,,,,,,,,,,,,,,,,,,
33,4,1,2,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
38,0,3,,,,,,,,,,,,,,,,,,,,,
44,0,0,,,,,,,,,,,,,,,,,,,,,
46,0,8,,,,,,,,,,,,,,,,,,,,,
54,0,0,,,,,,,,,,,,,,,,,,,,,
56,0,0,,,,,,,,,,,,,,,,,,,,,
64,0,4,,,,,,,,,,,,,,,,,,,,,
67,1,0,,,,,,,,,,,,,,,,,,,,,
72,0,0,,,,,,,,,,,,,,,,,,,,,
73,0,0,,,,,,,,,,,,,,,,,,,,,
74,1,0,,,,,,,,,,,,,,,,,,,,,
77,1,4,,,,,,,,,,,,,,,,,,,,,
79,1,12,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
80,1,7,,,,,,,,,,,,,,,,,,,,,
82,1,3,,,,,,,,,,,,,,,,,,,,,
83,0,12,3,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
84,0,6,,,,,,,,,,,,,,,,,,,,,
86,0,12,2,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
92,0,0,,,,,,,,,,,,,,,,,,,,,
93,0,3,,,,,,,,,,,,,,,,,,,,,
95,0,4,,,,,,,,,,,,,,,,,,,,,
98,0,4,,,,,,,,,,,,,,,,,,,,,
102,0,4,,,,,,,,,,,,,,,,,,,,,
118,0,12,3,5,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
125,1,12,3,6,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0
127,1,0,,,,,,,,,,,,,,,,,,,,,
128,1,0,,,,,,,,,,,,,,,,,,,,,
130,4,10,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1
134,0,4,,,,,,,,,,,,,,,,,,,,,
135,0,0,,,,,,,,,,,,,,,,,,,,,
141,1,3,,,,,,,,,,,,,,,,,,,,,
143,1,6,,,,,,,,,,,,,,,,,,,,,
145,1,0,,,,,,,,,,,,,,,,,,,,,
147,0,8,,,,,,,,,,,,,,,,,,,,,
151,0,8,,,,,,,,,,,,,,,,,,,,,
161,1,12,2,5,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1
164,0,0,,,,,,,,,,,,,,,,,,,,,
165,1,4,,,,,,,,,,,,,,,,,,,,,
166,1,12,2,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
168,1,3,,,,,,,,,,,,,,,,,,,,,
170,0,4,,,,,,,,,,,,,,,,,,,,,
171,0,3,,,,,,,,,,,,,,,,,,,,,
173,1,7,,,,,,,,,,,,,,,,,,,,,
178,1,0,,,,,,,,,,,,,,,,,,,,,
183,0,0,,,,,,,,,,,,,,,,,,,,,
186,0,4,,,,,,,,,,,,,,,,,,,,,
187,0,0,,,,,,,,,,,,,,,,,,,,,
191,0,3,,,,,,,,,,,,,,,,,,,,,
194,0,4,,,,,,,,,,,,,,,,,,,,,
200,0,4,,,,,,,,,,,,,,,,,,,,,
202,0,0,,,,,,,,,,,,,,,,,,,,,
203,1,0,,,,,,,,,,,,,,,,,,,,,
205,0,3,,,,,,,,,,,,,,,,,,,,,
206,1,1,,,,,,,,,,,,,,,,,,,,,
207,1,4,,,,,,,,,,,,,,,,,,,,,
214,0,4,,,,,,,,,,,,,,,,,,,,,
222,0,0,,,,,,,,,,,,,,,,,,,,,
223,0,0,,,,,,,,,,,,,,,,,,,,,
235,1,12,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0
236,0,0,,,,,,,,,,,,,,,,,,,,,
237,1,4,,,,,,,,,,,,,,,,,,,,,
239,0,0,,,,,,,,,,,,,,,,,,,,,
240,0,0,,,,,,,,,,,,,,,,,,,,,
243,1,0,,,,,,,,,,,,,,,,,,,,,
245,1,0,,,,,,,,,,,,,,,,,,,,,
253,1,9,2,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
254,0,4,,,,,,,,,,,,,,,,,,,,,
255,0,3,,,,,,,,,,,,,,,,,,,,,
265,0,0,,,,,,,,,,,,,,,,,,,,,
266,0,12,3,5,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1
267,0,1,,,,,,,,,,,,,,,,,,,,,
271,5,,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1
273,1,3,,,,,,,,,,,,,,,,,,,,,
276,0,4,,,,,,,,,,,,,,,,,,,,,
283,0,0,,,,,,,,,,,,,,,,,,,,,
285,0,12,2,4,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1
286,0,0,,,,,,,,,,,,,,,,,,,,,
291,1,6,,,,,,,,,,,,,,,,,,,,,
299,1,0,,,,,,,,,,,,,,,,,,,,,
300,0,12,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0
303,0,4,,,,,,,,,,,,,,,,,,,,,
304,0,0,,,,,,,,,,,,,,,,,,,,,
306,1,4,,,,,,,,,,,,,,,,,,,,,
309,0,12,2,4,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
314,0,0,,,,,,,,,,,,,,,,,,,,,
316,0,4,,,,,,,,,,,,,,,,,,,,,
318,0,4,,,,,,,,,,,,,,,,,,,,,
319,4,6,,,,,,,,,,,,,,,,,,,,,
322,1,4,,,,,,,,,,,,,,,,,,,,,
324,0,0,,,,,,,,,,,,,,,,,,,,,
327,1,0,,,,,,,,,,,,,,,,,,,,,
329,0,3,,,,,,,,,,,,,,,,,,,,,
331,1,6,,,,,,,,,,,,,,,,,,,,,
335,1,0,,,,,,,,,,,,,,,,,,,,,
339,1,4,,,,,,,,,,,,,,,,,,,,,
341,0,12,2,4,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
346,1,12,2,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1
